0;455
1;1717
2;1018
3;1280
4;1354
5;1609
6;1651
7;1653
8;1684
9;2184
10;2089
11;2175
12;2075
13;2160
14;2155
15;2227
16;2328
17;2724
18;2695
19;2779
20;2628
21;2874
22;2883
23;2951
24;22934
25;3175
26;3210
27;3251
28;3265
29;3268
30;3238
31;3273
32;3357
33;3894
34;3869
35;3954
36;3876
37;4029
38;3963
39;4084
40;4159
41;3926
42;4101
43;4116
44;4383
45;4253
46;4410
47;4045
48;4466
49;4626
50;4486
51;4543
52;4690
53;4621
54;4728
55;4561
56;4394
57;4750
58;4773
59;4545
60;4610
61;4862
62;4947
63;4936
64;4911
65;4943
66;5263
67;5711
68;5524
69;5444
70;5955
71;5938
72;5929
73;5810
74;5998
75;5804
76;5466
77;6027
78;5374
79;6048
80;5955
81;6402
82;6335
83;6252
84;5901
85;6464
86;6500
87;6669
88;6041
89;6438
90;6701
91;6431
92;6838
93;7049
94;6877
95;6900
96;7088
97;7052
98;6929
99;7170
100;7314
101;7391
102;6998
103;7046
104;6973
105;6999
106;7104
107;7135
108;7274
109;7111
110;7229
111;6977
112;6851
113;6977
114;7299
115;7390
116;7543
117;7466
118;8003
119;7952
120;7684
121;7917
122;8044
123;8159
124;7747
125;8109
126;7891
127;7897
128;8215
129;9252
130;8655
131;8732
132;8965
133;9000
134;8919
135;8443
136;9041
137;9221
138;9188
139;8950
140;9075
141;9249
142;9567
143;9088
144;9207
145;9314
146;9329
147;9179
148;9783
149;9298
150;9755
151;9558
152;9924
153;9702
154;10118
155;9955
156;9638
157;10318
158;9727
159;9339
160;9227
161;8316
162;6885
163;6787
164;6713
165;6813
166;6741
167;6734
168;6782
169;6800
170;6786
171;6917
172;6926
173;7033
174;7094
175;6910
176;6956
177;7148
178;7210
179;7099
180;7233
181;7130
182;7139
183;7354
184;7300
185;7349
186;7317
187;7400
188;7261
189;7300
190;7404
191;7461
192;9770
193;10457
194;10863
195;10600
196;11678
197;11715
198;11696
199;12139
200;11389
201;12048
202;12118
203;11831
204;11420
205;11462
206;12248
207;11982
208;11805
209;12349
210;12291
211;11290
212;11966
213;11899
214;12452
215;13168
216;12734
217;12265
218;12518
219;12565
220;12428
221;12308
222;11988
223;11007
224;11159
225;11485
226;11082
227;11105
228;11502
229;11276
230;11785
231;11504
232;11300
233;11743
234;11988
235;12476
236;12179
237;11772
238;12905
239;12465
240;12133
241;11983
242;12525
243;12846
244;13040
245;13054
246;12865
247;13672
248;13118
249;13766
250;13233
251;12517
252;12597
253;12919
254;13229
255;12796
256;13661
257;14530
258;15485
259;14486
260;14719
261;14459
262;14870
263;14922
264;14751
265;15471
266;15549
267;15659
268;15998
269;15975
270;16108
271;15907
272;15759
273;15717
274;16408
275;16092
276;16187
277;16576
278;16103
279;16362
280;15574
281;15280
282;14357
283;15181
284;15178
285;15294
286;15502
287;14662
288;15220
289;14596
290;14189
291;14691
292;13510
293;13447
294;13594
295;15578
296;14377
297;14362
298;15274
299;17033
300;17447
301;16904
